time,RSSI
15884,95
16190,95
16495,95
16801,95
17106,95
17410,95
17715,95
18020,95
18325,95
18629,95
18935,95
19240,95
19546,95
19851,95
20157,95
20463,95
20768,95
21074,95
21379,95
21684,95
21989,95
22294,95
22599,95
22904,95
23210,95
23516,95
23821,95
24126,95
24432,94
24737,94
25043,94
25348,94
25653,94
25959,94
26264,94
26569,94
26875,94
27180,94
27486,94
27792,94
28096,94
28401,94
28707,94
29012,94
29318,94
29622,94
29928,94
30233,94
time,RSSI
4,95
59,95
114,95
170,95
225,95
282,95
339,95
394,95
450,95
506,95
560,95
617,95
673,95
728,95
784,95
840,95
895,95
951,95
1006,95
1063,95
1121,95
1176,95
1231,95
1289,95
1344,95
1402,95
1457,95
1512,95
1568,95
1622,95
1677,95
1732,95
1787,95
1841,95
1897,95
1954,95
2009,95
2066,95
2122,95
2177,95
2234,95
2290,95
2346,95
2402,95
2457,95
2512,95
2569,95
2623,95
2678,95
2732,95
2788,95
2850,95
2910,95
2969,95
3025,95
3081,95
3137,95
3192,95
3247,95
3303,95
3358,95
3414,95
3470,95
3524,95
3581,95
3637,95
3692,95
3747,95
3804,95
3860,95
3914,95
3972,95
4028,95
4085,95
4142,95
4198,95
4252,95
4309,95
4364,95
4421,95
4477,95
4534,95
4591,95
4646,95
4702,95
4761,95
4817,95
4873,95
4928,95
4984,95
5039,95
5096,95
5153,95
5208,95
5263,95
5319,95
5374,95
5428,95
5486,95
5541,95
